,GameID,Team,TeamVegas,ClosingSpread,TeamFP,MIN,Pred
2,21900002.0,LA Clippers,110.0,3.5,242.75,240.0,237.85922502491948
3,21900002.0,LA Lakers,113.5,-3.5,218.75,239.98999999999998,245.35541986792413
4,21900003.0,Charlotte,106.75,3.5,254.25,240.01999999999998,232.7437766519298
5,21900003.0,Chicago,110.25,-3.5,263.25,240.02,240.23997149493445
6,21900004.0,Detroit,102.0,7.5,250.75,239.99999999999997,224.1317804260347
7,21900004.0,Indiana,109.5,-7.5,233.5,239.98999999999998,240.1950550896162
8,21900005.0,Cleveland,101.0,9.5,215.0,240.0,221.99001047089055
9,21900005.0,Orlando,110.5,-9.5,230.5,240.0,242.3368250447604
12,21900007.0,Memphis,103.75,6.5,230.5,240.01000000000002,227.1701455470644
13,21900007.0,Miami,110.25,-6.5,258.75,240.03,241.09165025550166
14,21900008.0,Boston,104.5,6.0,191.75,240.02,228.49258009323347
15,21900008.0,Philadelphia,110.5,-6.0,257.5,239.98999999999998,241.34319982409866
16,21900009.0,Dallas,114.75,-9.0,228.0,240.00000000000003,248.88431107242158
17,21900009.0,Washington,105.75,9.0,229.75,239.98999999999998,229.60838147612387
18,21900010.0,New York,102.0,10.5,241.75,240.00000000000003,223.28010166546753
19,21900010.0,San Antonio,112.5,-10.5,252.75,240.00000000000003,245.76868619448157
20,21900011.0,Oklahoma City,106.0,9.0,207.0,240.01,230.00187750481538
21,21900011.0,Utah,115.0,-9.0,210.25,240.01,249.2778071011131
22,21900012.0,Phoenix,117.0,-1.5,282.0,239.98999999999995,250.29657842922722
23,21900012.0,Sacramento,115.5,1.5,217.25,240.00999999999996,247.08392349651092
24,21900013.0,Denver,109.5,-1.5,248.75,240.0,238.49169756848178
25,21900013.0,Portland,108.0,1.5,219.0,240.0,235.27904263576548
26,21900014.0,Atlanta,110.25,1.5,244.0,239.99,238.82050689398912
27,21900014.0,Detroit,111.75,-1.5,212.25,240.02,242.03316182670542
28,21900015.0,Houston,116.25,-1.5,258.75,240.03,249.11609034315268
29,21900015.0,Milwaukee,114.75,1.5,277.25,239.99999999999997,245.90343541043637
30,21900016.0,Golden State,114.0,1.5,243.0,240.01,244.72294732436183
31,21900016.0,LA Clippers,115.5,-1.5,280.75,240.00999999999996,247.93560225707813
32,21900017.0,Boston,107.75,-2.5,260.5,239.99000000000004,236.02111828783023
33,21900017.0,Toronto,105.25,2.5,233.0,239.97,230.66669339996977
34,21900018.0,Charlotte,110.25,5.0,228.0,240.01000000000002,237.8268816733274
35,21900018.0,Minnesota,115.25,-5.0,278.5,240.00999999999996,248.53573144904834
36,21900019.0,Brooklyn,118.0,-8.0,249.0,240.01,253.71586652522222
37,21900019.0,New York,110.0,8.0,240.75,240.01000000000002,236.58170688406867
38,21900020.0,Chicago,113.5,-2.0,247.75,240.01,244.92958048764055
39,21900020.0,Memphis,111.5,2.0,250.0,239.99999999999997,240.64604057735215
40,21900021.0,Dallas,112.5,2.0,261.25,240.0,242.22002469211822
41,21900021.0,New Orleans,114.5,-2.0,253.5,239.99,246.5035646024066
42,21900022.0,Oklahoma City,113.75,-9.5,204.75,240.0,247.45227341775006
43,21900022.0,Washington,104.25,9.5,230.25,239.99999999999997,227.10545884388023
46,21900024.0,Portland,114.25,-1.0,246.0,240.0,245.826175653526
47,21900024.0,Sacramento,113.25,1.0,231.25,240.01999999999995,243.68440569838185
48,21900025.0,LA Lakers,109.0,-3.5,233.0,239.99999999999997,238.27249135147687
49,21900025.0,Utah,105.5,3.5,199.5,240.0,230.77629650847223
52,21900027.0,Detroit,104.25,4.5,236.25,240.0,228.52492344482556
53,21900027.0,Philadelphia,108.75,-4.5,261.0,239.99999999999997,238.16288824297445
54,21900028.0,Atlanta,107.0,2.0,242.5,240.0,233.5631120609049
55,21900028.0,Orlando,109.0,-2.0,216.5,240.02,237.8466519711933
56,21900029.0,Boston,112.0,-5.0,271.0,239.98,243.42028307605867
57,21900029.0,New York,107.0,5.0,223.25,240.0,232.71143330033772
58,21900030.0,Cleveland,104.0,5.0,246.0,240.00000000000003,227.98948095603953
59,21900030.0,Indiana,109.0,-5.0,212.0,239.99000000000004,238.69833073176048
60,21900031.0,Chicago,108.25,2.5,201.25,239.98999999999998,235.38864574426793
61,21900031.0,Toronto,110.75,-2.5,282.75,239.99999999999994,240.74307063212842
62,21900032.0,Houston,125.25,-12.0,260.75,239.99000000000004,266.26282303803237
63,21900032.0,New Orleans,113.25,12.0,255.5,239.99000000000004,240.5615835763021
64,21900033.0,San Antonio,115.5,-11.5,269.25,240.04,250.77453145896882
65,21900033.0,Washington,104.0,11.5,254.25,240.0,226.14417697481056
66,21900034.0,Sacramento,105.75,9.0,171.75,239.99999999999997,229.60838147612387
67,21900034.0,Utah,114.75,-9.0,242.25,239.99999999999997,248.88431107242158
68,21900035.0,LA Clippers,117.5,-10.0,238.75,239.99999999999997,253.49666030821734
69,21900035.0,Phoenix,107.5,10.0,279.75,240.00000000000003,232.0789607567754
70,21900036.0,Golden State,111.5,1.0,205.75,240.01,240.92993349754124
71,21900036.0,Oklahoma City,112.5,-1.0,263.5,240.0,243.07170345268543
74,21900038.0,Dallas,110.75,-3.0,249.0,240.05,240.88501709222297
75,21900038.0,Portland,107.75,3.0,233.0,239.99999999999997,234.45970722679036
76,21900039.0,Miami,108.75,7.0,247.75,240.0,234.89811966080015
77,21900039.0,Minnesota,115.75,-7.0,250.0,239.98999999999995,249.89050934680952
78,21900040.0,Charlotte,101.25,13.5,219.75,240.00000000000003,221.2479348188258
79,21900040.0,LA Lakers,114.75,-13.5,265.75,239.99000000000007,250.1618292132724
80,21900041.0,Detroit,105.5,2.0,214.0,239.99999999999997,231.2021358887558
81,21900041.0,Indiana,107.5,-2.0,222.75,240.0,235.48567579904423
82,21900042.0,Chicago,113.5,-1.5,205.0,240.02000000000004,244.787634027546
83,21900042.0,New York,112.0,1.5,243.25,240.01999999999998,241.57497909482973
84,21900043.0,Atlanta,107.25,6.5,238.75,240.01,232.67908994874563
85,21900043.0,Philadelphia,113.75,-6.5,261.25,240.0,246.60059465718285
86,21900044.0,Orlando,101.75,5.0,230.75,240.02,224.44801669781592
87,21900044.0,Toronto,106.75,-5.0,232.5,240.01000000000005,235.15686647353687
88,21900045.0,Houston,118.75,-10.0,233.5,239.98000000000002,255.46414045167492
89,21900045.0,Oklahoma City,108.75,10.0,243.0,240.01000000000005,234.04644090023294
90,21900046.0,Cleveland,104.5,15.5,222.0,240.00000000000003,225.79559735143732
91,21900046.0,Milwaukee,120.0,-15.5,281.5,239.97999999999996,258.9930316561723
92,21900047.0,Golden State,117.0,2.5,301.75,240.01,249.16100674847095
93,21900047.0,New Orleans,119.5,-2.5,283.25,240.00999999999996,254.5154316363314
94,21900048.0,Portland,108.25,6.5,235.75,240.0,234.25307406351166
95,21900048.0,San Antonio,114.75,-6.5,253.5,239.97999999999996,248.17457877194892
96,21900049.0,Phoenix,104.25,5.0,214.0,240.0,228.38297698473104
97,21900049.0,Utah,109.25,-5.0,228.25,240.00000000000003,239.091826760452
98,21900050.0,Denver,111.25,-5.0,233.0,239.99999999999997,242.23979498998412
99,21900050.0,Sacramento,106.25,5.0,231.5,240.01000000000002,231.53094521426317
100,21900051.0,Charlotte,106.75,15.5,213.0,239.99999999999997,229.33706160966096
101,21900051.0,LA Clippers,122.25,-15.5,255.0,239.99999999999994,262.53449591439596
102,21900052.0,Atlanta,107.0,9.0,237.75,240.01999999999998,231.57586161958145
103,21900052.0,Miami,116.0,-9.0,255.25,240.03000000000003,250.85179121587916
104,21900053.0,Dallas,103.5,5.0,237.5,240.01,227.2024888986565
105,21900053.0,Denver,108.5,-5.0,229.0,239.98999999999998,237.91133867437745
106,21900054.0,LA Lakers,113.75,-12.0,271.5,240.01,248.16200571822273
107,21900054.0,Memphis,101.75,12.0,218.5,240.00999999999993,222.46076625649243
108,21900055.0,Chicago,109.25,-2.0,220.5,240.0,238.2401479998848
109,21900055.0,Cleveland,107.25,2.0,246.75,240.00000000000003,233.95660808959641
110,21900056.0,New York,100.0,9.5,197.5,240.03999999999996,220.4160263561245
111,21900056.0,Orlando,109.5,-9.5,227.5,240.01,240.76284092999433
112,21900057.0,Minnesota,107.25,7.0,209.0,240.00000000000003,232.53714348865108
113,21900057.0,Philadelphia,114.25,-7.0,278.5,240.01000000000002,247.52953317466043
114,21900058.0,Boston,110.75,3.0,238.75,239.98999999999998,239.18165957108855
115,21900058.0,Milwaukee,113.75,-3.0,221.25,239.99999999999997,245.60696943652113
116,21900059.0,Brooklyn,112.0,-2.5,243.5,239.99999999999997,242.710550775586
117,21900059.0,Indiana,109.5,2.5,238.75,240.00000000000003,237.3561258877255
118,21900060.0,Detroit,102.25,9.5,239.5,240.0,223.9574906143481
119,21900060.0,Toronto,111.75,-9.5,254.0,240.0,244.30430518821797
120,21900061.0,Houston,121.0,-8.0,311.0,239.99,258.43781886952036
121,21900061.0,Washington,113.0,8.0,294.0,240.01999999999998,241.30365922836685
122,21900062.0,Oklahoma City,110.25,1.5,221.25,239.99,238.82050689398912
123,21900062.0,Portland,111.75,-1.5,242.75,240.01,242.03316182670542
124,21900063.0,LA Clippers,105.0,7.0,197.0,240.01,228.99567923042744
125,21900063.0,Utah,112.0,-7.0,236.0,240.01000000000002,243.98806891643682
126,21900064.0,Charlotte,108.0,7.5,260.5,239.98999999999998,233.57568511463106
127,21900064.0,Sacramento,115.5,-7.5,245.25,240.0,249.63895977821255
128,21900065.0,Golden State,118.5,-5.5,237.25,239.99999999999994,253.7931262821326
129,21900065.0,Phoenix,113.0,5.5,272.75,239.99,242.01339152883952
130,21900066.0,Atlanta,104.25,7.0,221.0,240.0,227.8151911443529
131,21900066.0,Miami,111.25,-7.0,256.25,240.0,242.80758083036227
132,21900067.0,Denver,113.25,-3.5,213.25,240.00999999999996,244.96192383923264
133,21900067.0,New Orleans,109.75,3.5,250.25,240.01000000000002,237.46572899622797
